course_number,course_title
INTEGBI C407,Introduction to Scientific Diving
INTEGBI 601,Individual Study for Master's Students
INTEGBI 602,Individual Study for Doctoral Students
INTEGBI N602,Individual Study for Doctoral Students
ISF 10,Enduring Questions and Great Books of the Western Tradition
ISF 61,Moral Reasoning and Human Action: The Quest for Judgment
ISF 98,Directed Group Study
ISF 100A,Introduction to Social Theory and Cultural Analysis
ISF 100B,Introduction to Social Theory and Cultural Analysis
ISF 100C,Language and Identity
ISF C100C,Word and Image
ISF C100G,"Introduction to Science, Technology, and Society"
ISF 100D,"Introduction to Technology, Society, and Culture"
ISF 100E,"The Globalization of Rights, Values, and Laws in the 21st Century"
ISF 100F,Theorizing Modern Capitalism: Controversies and Interpretations
ISF 100G,"Introduction to Science, Society, and Ethics"
ISF 100H,Introduction to Media and International Relations
ISF 100I,Consumer Society and Culture
ISF 100J,The Social Life of Computing
ISF N100A,Introduction to Social Theory and Cultural Analysis
ISF N100D,"Introduction to Technology, Society, and Culture"
ISF 110,Special Topics in Interdisciplinary Studies
ISF 189,Introduction to Interdisciplinary Research Methods
ISF 190,Senior Thesis
ISF 197,Field Studies
ISF 198,Directed Group Study for Advanced Undergraduates
ISF 199,Supervised Independent Study and Research for Upper Division Majors
IAS 45,Survey of World History
IAS N45,Survey of World History
IAS 98,Issues in Political Economy and Development
IAS 102,Scope and Methods of Research in International and Area Studies
IAS H102,Scope and Methods of Research in International and Area Studies
IAS 106,Intermediate Microeconomic Theory
IAS 107,Intermediate Macroeconomic Theory
IAS C118,Introductory Applied Econometrics
IAS 120,Selected Topics - International and Area Studies
IAS 150,Advanced Studies in International and Area Studies
IAS N150,Advanced Studies in International and Area Studies
IAS 157AC,"Engineering, The Environment, and Society"
IAS 160,Berkeley Summer Institute for the Global Generation
IAS C175,The Economics of Climate Change
IAS C176,Climate Change Economics
IAS 180,Current Issues in International and Area Studies
IAS 194,Senior Seminar in International and Area Studies
IAS 196,Special Field Research
IAS 197,Field Studies
IAS 198,Directed Group Study
IAS 199,Supervised Independent Study and Research for Undergraduates
IAS 202,Seminar in Portuguese Studies
IAS 206,Intermediate Microeconomic Theory
IAS 207,Intermediate Macroeconomic Theory
IAS 255,Rotary Peace Fellows Seminar
IAS 292,Directed Advanced Research
IAS 299,Directed Reading
IAS 375,Professional Training: Teaching in IAS
IRANIAN 110A,Middle Persian
IRANIAN 110B,Middle Persian
IRANIAN 111A,Old Iranian
IRANIAN 111B,Old Iranian
IRANIAN 201A,Iranian Philology
IRANIAN 201B,Iranian Philology
ITALIAN 1,Elementary Italian
ITALIAN 1G,Reading Italian for Graduate Students
ITALIAN 1S,Intensive Italian for Romance Languages Speakers
ITALIAN 2,Elementary Italian
ITALIAN 3,Intermediate Italian
ITALIAN 4,Intermediate Italian
ITALIAN R5A,Reading and Composition
ITALIAN R5B,Reading and Composition
ITALIAN 11,Italian Conversation I
ITALIAN 12,Advanced Conversational Italian
ITALIAN N12,Italian Conversation II
ITALIAN 24,Freshman Seminars
ITALIAN 30,Dante (in English)
ITALIAN N30,Dante (in English)
ITALIAN 39C,Freshman/Sophomore Seminar
ITALIAN 39F,Freshman/Sophomore Seminar
ITALIAN 40,Italian Culture (in English)
ITALIAN 50,The Italian Renaissance
ITALIAN C62,Introduction to Italian Renaissance Art
ITALIAN 70,"Italian Cinema: History, Directors, Genres, Introduction to Italian Cinema"
ITALIAN N70,"Italian Cinema: History, Directors, Genres, Introduction to Italian Cinema"
ITALIAN 97,Field Studies
ITALIAN 98,Directed Group Study
ITALIAN 101,Advanced Writing Workshop
ITALIAN 101A,"Advanced Grammar, Reading, and Composition"
ITALIAN 101B,"Advanced Grammar, Reading, and Composition"
ITALIAN 102,Italian through the Arts
ITALIAN 103,History of Italian Culture
ITALIAN 104,Reading Italian Literature
ITALIAN 105,History of Italian Culture
ITALIAN 109,Dante's Commedia (in Italian)
ITALIAN 110,Literature and Culture of the 13th and 14th Centuries
ITALIAN 112,Sixteenth-Century Literature and Culture
ITALIAN 114,Eighteenth-Century Literature and Culture
ITALIAN 115,Nineteenth-Century Literature and Culture
ITALIAN 117,Twentieth and Twenty-First Century Literature
ITALIAN 120,Topics in Italian Studies
ITALIAN 130A,Dante's Inferno (in English)
ITALIAN 130B,Dante's Purgatorio and Paradiso (in English)
ITALIAN 160,"Studies in the History, Society, and Politics of the Italian Peninsula"
ITALIAN 163,Special Topics in Italian Literature
ITALIAN 170,"The Italian Cinema: History, Genres, Authors"
ITALIAN 175,Film and Literature (in English)
ITALIAN H195,Special Studies for Honors Candidates
ITALIAN 197,Field Studies
ITALIAN 198,Directed Group Study
ITALIAN 199,Supervised Independent Study and Research for Advanced Undergraduates
ITALIAN C201,Linguistic History of the Romance Language
ITALIAN C203,Comparative Studies in Romance Literatures and Cultures
ITALIAN 204,Contemporary Trends in Critical Theory
ITALIAN 205,Proseminar I: Italian Literary Studies
ITALIAN 212,Seminar on Dante
ITALIAN 215,Seminar in Renaissance Literature and Culture
ITALIAN 230,Seminar in 19th Century Literature and Culture
ITALIAN 235,Seminar in 20th Century Literature and Culture
ITALIAN 244,Special Topics in Genre and Mode
ITALIAN 248,Special Topics in Interdisciplinary Italian Studies
ITALIAN 260,Directed Readings in Italian Literature and Culture
ITALIAN 270,Seminar Research Course
ITALIAN 282,Prospectus Tutorial
ITALIAN 290A,Graduate Colloquium in Italian Studies
ITALIAN 290B,Graduate Colloquium in Italian Studies
ITALIAN 298,Special Study
ITALIAN 299,Directed Research
ITALIAN N299,Directed Research
ITALIAN 302,Practicum in College Teaching of Italian
ITALIAN 303,"Practicum in the Teaching of Italian Literature, History, and Culture"
ITALIAN 375,Seminar in Language Pedagogy
ITALIAN 601,Individual Studies for M.A. Candidates
ITALIAN 602,Individual Studies for Doctoral Students
JAPAN 1,Intensive Elementary Japanese
JAPAN 1A,Elementary Japanese
JAPAN 1AL,Supplementary Work in Listening-Elementary
JAPAN 1AS,Supplementary Work in Kanji
JAPAN 1B,Elementary Japanese
JAPAN 1BL,Supplementary Work in Listening-Elementary
JAPAN 1BS,Supplementary Work in Kanji
JAPAN 7A,Introduction to Premodern Japanese Literature and Culture
JAPAN 7B,Introduction to Modern Japanese Literature and Culture
JAPAN 10,Intensive Intermediate Japanese
JAPAN 10A,Intermediate Japanese
JAPAN 10AG,Supplementary Work in Grammar - Intermediate
JAPAN 10AS,Supplementary Work in Kanji - Intermediate
JAPAN 10B,Intermediate Japanese
JAPAN 10BG,Supplementary Work in Grammar - Intermediate
JAPAN 10BS,Supplementary Work in Kanji-Intermediate
JAPAN 10X,Intermediate Japanese for Heritage Learners
JAPAN 24,Freshman Seminar
JAPAN 80,Japanese Culture
JAPAN 84,Sophomore Seminar
JAPAN 98,Directed Group Study for Lower Division Students
JAPAN 99,Independent Study for Lower Division Students
JAPAN 100,Intensive Advanced Japanese
JAPAN 100A,Advanced Japanese
JAPAN 100B,Advanced Japanese
JAPAN 100S,Japanese for Sinologists
JAPAN 100X,Advanced Japanese for Heritage Learners
JAPAN 101,Fourth-Year Readings: Social Sciences
JAPAN 102,Fourth-Year Readings: Japanese Culture
JAPAN 103,Fourth-Year Readings: Japanese Literature
JAPAN 104,Fourth-Year Readings: Japanese History
JAPAN 111,Fifth-Year Readings: Reading and Analysis of Advanced Japanese Texts
JAPAN 112,Fifth-Year Readings: Japanese for Research and Professional Use
JAPAN C115,Japanese Buddhism
JAPAN 116,Introduction to the Religions of Japan
JAPAN 120,Introduction to Classical Japanese
JAPAN 130,Classical Japanese Poetry
JAPAN 132,Premodern Japanese Diary (Nikki) Literature
JAPAN 140,Heian Prose
JAPAN C141,Introductory Readings in Japanese Buddhist Texts
JAPAN 144,Edo Literature
JAPAN 146,Japanese Historical Documents
JAPAN 155,Modern Japanese Literature
JAPAN 159,Contemporary Japanese Literature
JAPAN 160,Introduction to Japanese Linguistics: Grammar
JAPAN 161,Introduction to Japanese Linguistics: Usage
JAPAN 163,Translation: Theory and Practice
JAPAN 170,Classical Japanese Literature in Translation
JAPAN 173,Modern Japanese Literature in Translation
JAPAN C176,Archaeology and Japanese Identities
JAPAN 177,Urami: Rancor and Revenge in Japanese Literature
JAPAN 180,Ghosts and the Modern Literary Imagination
JAPAN 181,"Reframing Disasters: Fukushima, Before and After"
JAPAN 185,Introduction to Japanese Cinema
JAPAN 188,Japanese Visual Culture: Introduction to Anime
JAPAN 189,Topics in Japanese Film
JAPAN H195A,Honors Course
JAPAN H195B,Honors Course
JAPAN 198,Directed Group Study
JAPAN 199,Independent Study
JAPAN C225,Readings in Japanese Buddhist Texts
JAPAN 230,Seminar in Classical Japanese Poetry
JAPAN C231,"Japanese Studies: Past, Present... and Future?"
JAPAN 232,Japanese Bibliography
JAPAN 234,Seminar in Classical Japanese Drama
JAPAN 240,Seminar in Classical Japanese Texts
JAPAN 255,Seminar in Prewar Japanese Literature
JAPAN 259,Seminar in Postwar Japanese Literature
JAPAN 298,Directed Study for Graduate Students
JAPAN 299,Thesis Preparation and Related Research
JAPAN 601,Individual Study for Master's Students
JAPAN 602,Individual Study for Doctoral Students
JEWISH 39,Freshman and Sophomore Seminar
JEWISH 39O,Freshman and Sophomore Seminar
JEWISH 39P,Freshman and Sophomore Seminar
JEWISH 39Q,Freshman and Sophomore Seminar
JEWISH 98,Directed Group Study
JEWISH 101,The Cultural Legacies of the Jews
JEWISH 120,Special Topics in Jewish Studies
JEWISH 121,Topics in Jewish Music
JEWISH 122,Topics in Contemporary Judaism
JEWISH 123,"Israeli Society: Social Structure, Inequality, and Political Cleavages"
JEWISH 198,Directed Group Study
JEWISH 200,Advanced Topics in Jewish Studies
JEWISH 290,Modern Jewish Scholarship: History and Practice
JEWISH 296,Jewish Studies DE Dissertation Research and Writing Credit
JEWISH 299,Individual Study and Research - Jewish Studies
JEWISH 602,Jewish Studies DE Exam Preparation
JOURN 24,Freshman Seminars
JOURN 39H,Freshman/Sophomore Seminar
JOURN 39J,Freshman/Sophomore Seminar
JOURN 39K,Freshman/Sophomore Seminar
JOURN 98,Directed Group Study in Journalism
JOURN 100,Introduction to News Reporting
JOURN 102AC,The Wire: When Journalism Meets Drama
JOURN C103,Edible Education: Telling Stories About Food and Agriculture
JOURN 110,Introduction to Multimedia
JOURN 111,Social Media and Journalism
JOURN 115,Advanced Multimedia
JOURN 120,Investigative Reporting
JOURN 130,Specialty Reporting
JOURN 134,International Reporting
JOURN C141,Understanding Journalism
JOURN 197,Field Study in Journalism
JOURN 198,Directed Group Study in Journalism
JOURN 199,Supervised Individual Study and Research
JOURN 200,Reporting the News
JOURN 201,Advanced News Reporting
JOURN 209,Multimedia Reporting Bootcamp
JOURN 210,News Photography
JOURN 211,News Reporting Laboratory
JOURN 212,Advanced Radio
JOURN 213,Documentary Photography
JOURN 215,Multimedia Skills
JOURN 216,Multimedia Reporting
JOURN 219,Mini-Special Topics
JOURN 220,Coding For Journalists
JOURN 221,Introduction to Data Visualization
JOURN 222,Interactive Narratives
JOURN 223,New Media Visuals
JOURN 226,Science Reporting
JOURN 228,Political Reporting
JOURN 230,Business Reporting
JOURN 234,International Reporting
JOURN 237,Reporting on Japan
JOURN 242,Profiles
JOURN 243,Long-Form Writing
JOURN 254,Opinion Writing
JOURN 255,Law and Ethics
JOURN 260,Investigative Reporting for TV and Print
JOURN 275,Radio News Reporting
JOURN 282,Introduction to Visual Journalism
JOURN 283,Reporting for Television
JOURN 284,Documentary Production
JOURN 285,Longform Video Reporting and Storytelling
JOURN 286,History of Documentary
JOURN 287,Inside &lt;Frontline&gt;
JOURN 290,Editing Workshop
JOURN 294,Master's Project Seminar
JOURN 297,Field Study in Journalism
JOURN 298,Group Study - Special Topics
JOURN 299,Individual Study
JOURN 601,Individual Study for Master's Students
KHMER 1A,Introductory Khmer
KHMER 1B,Introductory Khmer
KHMER 100A,Intermediate Khmer
KHMER 100B,Intermediate Khmer
KHMER 101A,Advanced Khmer
KHMER 101B,Advanced Khmer
KOREAN 1,Intensive Elementary Korean
KOREAN 1A,Elementary Korean
KOREAN 1AX,Elementary Korean for Heritage Speakers
KOREAN 1B,Elementary Korean
KOREAN 1BX,Elementary Korean for Heritage Speakers
KOREAN 7A,Introduction to Premodern Korean Literature and Culture
KOREAN 7B,Introduction to Modern Korean Literature and Culture
KOREAN 10,Intensive Intermediate Korean
KOREAN 10A,Intermediate Korean
KOREAN 10AX,Intermediate Korean for Heritage Speakers
KOREAN 10B,Intermediate Korean
KOREAN 10BX,Intermediate Korean for Heritage Speakers
KOREAN 24,Freshman Seminar
KOREAN 84,Sophomore Seminar
KOREAN 98,Directed Group Study for Lower Division Students
KOREAN 99,Independent Study for Lower Division Students
KOREAN 100A,Advanced Korean
KOREAN 100AX,Advanced Korean for Heritage Speakers
KOREAN 100B,Advanced Korean
KOREAN 100BX,Advanced Korean for Heritage Speakers
KOREAN 101,Fourth-Year Readings: Korean Literature
KOREAN 102,Fourth-Year Readings: Korean Social Sciences and History
KOREAN 111,Fifth-Year Readings: Reading and Analysis of Advanced Korean Texts
KOREAN 112,Fifth-Year Readings: Korean for Research and Professional Use
KOREAN 130,Genre and Occasion in Traditional Poetry
KOREAN 140,Narrating Persons and Objects in Traditional Korean Prose
KOREAN 150,Modern Korean Poetry
KOREAN 153,Readings in Modern Korean Literature
KOREAN 155,Modern Korean Fiction
KOREAN 157,Contemporary Korean Literature
KOREAN 170,Intercultural Encounters in Korean Literature
KOREAN 172,Gender and Korean Literature
KOREAN 174,Modern Korean Fiction in Translation
KOREAN 180,Critical Approaches to Modern Korean Literature
KOREAN 185,Picturing Korea
KOREAN 186,Introduction to Korean Cinema
KOREAN 187,History and Memory in Korean Cinema
KOREAN 188,Cold War Culture in Korea: Literature and Film
KOREAN 189,Korean Film Authors
KOREAN 198,Directed Group Study
KOREAN 199,Independent Study
KOREAN 200,Special Topics in Korean Literature for Graduate Students
KOREAN 298,Directed Study for Graduate Students
KOREAN 299,Thesis Preparation and Related Research
KOREAN 601,Individual Study for Master's Students
KOREAN 602,Individual Study for Doctoral Students
LD ARCH 1,Drawing a Green Future: Fundamentals of Visual Representation and Creativity
LD ARCH 12,Environmental Science for Sustainable Development
LD ARCH 24,Freshman Seminars
LD ARCH 39A,Freshman/Sophomore Seminar
LD ARCH 84,Sophomore Seminar
LD ARCH 98,Directed Group Study for Freshmen and Sophomores
LD ARCH 101,Fundamentals of Landscape Design
LD ARCH 102,Case Studies in Landscape Design
LD ARCH 103,"Energy, Fantasy, and Form"
LD ARCH 110,Ecological Analysis
LD ARCH 110L,Ecological Analysis Laboratory
LD ARCH 111,Plants in Design
LD ARCH 112,Landscape Plants: Identification and Use
LD ARCH 120,Topographic Form and Design Technology
LD ARCH 121,Design in Detail: Introduction to Landscape Materials and Construction
LD ARCH 122,Hydrology for Planners
LD ARCH 130,Sustainable Landscapes and Cities
LD ARCH 131,Implementation of Sustainable Landscape Design
LD ARCH 132,Computer Applications in Environmental Design
LD ARCH 132A,Computer Applications for Environmental Design
LD ARCH 134A,Drawing Workshop 1
LD ARCH 134B,Drawing Workshop II
LD ARCH 135,The Art of Landscape Drawing
LD ARCH 136,Advanced Landscape Delineation
LD ARCH 138,Analysis of Metropolitan Form
LD ARCH 138AC,The Metropolitan Landscape
LD ARCH 140,Social and Psychological Factors in Open Space Design
LD ARCH 141AC,The American Landscape: Multicultural Difference and Diversity
LD ARCH 160,Professional Practice Seminar
LD ARCH 170,History and Literature of Landscape Architecture
LD ARCH C171,The American Designed Landscape Since 1850
LD ARCH C177,GIS and Environmental Spatial Data Analysis
LD ARCH C188,Geographic Information Systems
LD ARCH 189,Contemporary Approaches To Visualization and Communication in Landscape Architecture
LD ARCH 197,Field Study in Landscape Architecture
LD ARCH 198,Directed Group Study
LD ARCH 199,Supervised Independent Study and Research
LD ARCH 200A,Fundamentals of Landscape Design
LD ARCH 200B,Case Studies in Landscape Design
LD ARCH 201,Ecological Factors in Urban Landscape Design
LD ARCH 202,Design of Landscape Sites
LD ARCH 203,Landscape Project Design
LD ARCH C203,Shaping the Public Realm
LD ARCH 204,Advanced Project Design
LD ARCH 205,Environmental Planning Studio
LD ARCH 206,Final Project Preparation Studio: Thesis and Reports
LD ARCH 221,Quantitative Methods in Environmental Planning
LD ARCH 222,Hydrology for Planners
LD ARCH 223,Introduction to California Landscapes
LD ARCH 225,Urban Forest Planning and Management
LD ARCH 226,Landscape Design Construction
LD ARCH 227,Restoration of Rivers and Streams
LD ARCH 228,"Research in Environmental River Planning, Management, and Restoration"
LD ARCH C231,Environmental Planning and Regulation
LD ARCH 232,The Landscape As a Sacred Place
LD ARCH 237,The Process of Environmental Planning
LD ARCH C241,Research Methods in Environmental Design
LD ARCH C242,Citizen Involvement in the City Planning Process
LD ARCH C250,Theories of Urban Form and Design
LD ARCH 251,Theories of Landscape Architecture and Environmental Planning
LD ARCH 252A,Thesis and Professional Project Proposal Seminar
LD ARCH 252B,Thesis and Professional Project Proposal Seminar
LD ARCH 253,Landscape Architecture and Environmental Planning Colloquium
LD ARCH 254,Topics in Landscape Architecture and Environmental Planning
LD ARCH 255,Doctoral Seminar in Environmental Planning
LD ARCH 257,Special Topics in Design
LD ARCH 258,California Water: An Interdisciplinary Seminar
LD ARCH 271,The Literature of the Landscape Architecture Profession
LD ARCH 289,Applied Remote Sensing
LD ARCH 295,Supervised Research in Landscape Architecture and Environmental Planning
LD ARCH 296,Directed Dissertation Research
LD ARCH 297,Supervised Field Study
LD ARCH 298,Group Study
LD ARCH 299,Individual Research
LD ARCH 300,Supervised Teaching in Landscape Architecture and Environmental Planning
LD ARCH 301,Methods of Teaching in Landscape Architecture and Environmental Planning
LD ARCH 375,Methods of Teaching in Landscape Architecture and Environmental Planning
LD ARCH 601,Individual Study for Master's Students
LD ARCH 602,Individual Study for Doctoral Students
LAN PRO 100B,Language Proficiency Tutorial
LAN PRO 150A,Advanced Language Proficiency Seminar
LAN PRO 380,Language Proficiency Workshop
LATAMST 10,Introduction to Latin American Studies
LATAMST 24,Freshman Seminar
LATAMST 150,Advanced Studies in Latin American Studies
LATAMST 160,The Politics of Development in Chile
LATAMST 192,Senior Thesis
LATAMST H195,Senior Honors Thesis Seminar
LATAMST 198,Directed Group Study
LATAMST 200,Latin American Studies Seminar
LATAMST 230,Cross-Listed Topics
LATAMST 250,Selected Topics in Latin American Studies
LATAMST 292,Directed Study and Research
LATAMST 298,Directed Graduate Group Study
LATAMST 299,Individual Study
LATIN 1,Elementary Latin
LATIN 2,Elementary Latin
LATIN 10,Intensive Elementary Latin
LATIN 15,The Latin Workshop
LATIN 40,Intermediate Latin Prose Composition
LATIN 98,Directed Group Study for Freshmen and Sophomores
LATIN 99,Supervised Independent Study and Research
LATIN 100,Republican Prose
LATIN 101,Vergil
LATIN 102,Lyric and Society
LATIN 115,Roman Drama
LATIN 116,"Lucretius, Vergil's Georgics"
LATIN 119,Latin Epic
LATIN 120,Latin Prose to AD 14
LATIN 121,Tacitus
LATIN 122,Post-Augustan Prose
LATIN 140,Medieval Latin
LATIN 155A,Readings in Medieval Latin
LATIN H195A,Honors Course in Latin
LATIN H195B,Honors Course in Latin
LATIN 198,Directed Group Study for Advanced Undergraduates
LATIN 199,Supervised Independent Study and Research
LEGALST R1A,Reading and Composition in Connection with the Law as a Social Institution
LEGALST R1B,Reading and Composition in Connection with the Law as a Social Institution
LEGALST 24,Freshman Seminars
LEGALST 39B,Freshman/Sophomore Seminar
LEGALST 39D,Freshman/Sophomore Seminar
LEGALST 39E,Freshman/Sophomore Seminar
LEGALST 39H,Freshman/Sophomore Seminar
LEGALST 39I,Freshman/Sophomore Seminar
LEGALST 88,Crime and Punishment: taking the measure of the US justice system
LEGALST 98,Directed Group Study
LEGALST 100,Foundations of Legal Studies
LEGALST 102,Policing and Society
LEGALST 103,Theories of Law and Society
LEGALST 104AC,Youth Justice and Culture
LEGALST 105,Theoretical Foundations of Criminal Law
LEGALST 107,Theories of Justice
LEGALST 109,Aims and Limits of the Criminal Law
LEGALST 116,Legal Discourse 1500-1700
LEGALST 119,Philosophy and Law in Ancient Athens
LEGALST 132AC,Immigration and Citizenship
LEGALST 138,The Supreme Court and Public Policy
LEGALST 139,Comparative Perspectives on Norms and Legal Traditions
LEGALST 140,Property and Liberty
LEGALST 145,Law and Economics I
LEGALST 146,The Law and Economics of Innovation
LEGALST 147,Law and Economics II
LEGALST 151,"Law, Self, and Society"
LEGALST 152AC,Human Rights & Technology
LEGALST 153,Law and Society in Asia
LEGALST 154,"Human Rights, Research & Practice"
LEGALST 155,Government and the Family
LEGALST 156,Bioethics and the Law
LEGALST 157,International Relations and International Law
LEGALST 158,Law and Development
LEGALST 159,Introduction to Law & Sexuality
LEGALST 160,"Punishment, Culture, and Society"
LEGALST 161,Law in Chinese Society
LEGALST 162AC,Restorative Justice
LEGALST 163,"Adolescence, Crime and Juvenile Justice"
LEGALST 168,"Sex, Reproduction and the Law"
LEGALST 170,Crime and Criminal Justice
LEGALST 171,European Legal History
LEGALST 173,Making Empire: Law and the Colonization of America
LEGALST 174,Comparative Constitutional Law: The Case of Israel
LEGALST 176,Twentieth-Century American Legal and Constitutional History
LEGALST 177,Survey of American Legal and Constitutional History
LEGALST 178,Seminar on American Legal and Constitutional History
LEGALST 179,Comparative Constitutional Law
LEGALST 180,Implicit Bias
LEGALST 181,Psychology and the Law
LEGALST 182,"Law, Politics and Society"
LEGALST 183,Psychology of Diversity and Discrimination in American Law
LEGALST 184,Sociology of Law
LEGALST 185AC,Prison
LEGALST C185,Prison
LEGALST 187,"Diversity, Law & Politics"
LEGALST 189,Feminist Jurisprudence
LEGALST 190,Seminar on Topics in Law and Society
LEGALST H195A,Honors Seminar
LEGALST H195B,Honors Thesis
LEGALST H195C,Legal Studies Honors Research and Writing Seminar
LEGALST 198,Directed Group Study
LEGALST 199,Supervised Independent Study and Research
LGBT 20AC,Alternative Sexual Identities and Communities in Contemporary American Society
LGBT 98,Directed Group Study for Advanced Undergraduates
LGBT 100,Special Topics
LGBT 145,Interpreting the Queer Past: Methods and Problems in the History of Sexuality
LGBT 146,Cultural Representations of Sexuality
LGBT C146A,Cultural Representations of Sexualities: Queer Literary Culture
LGBT C146B,Cultural Representations of Sexualities: Queer Visual Culture
LGBT C147B,"Sexuality, Culture, and Colonialism"
LGBT C148,"Ethnicity, Gender, and Sexuality"
LGBT 198,Directed Group Study for Advanced Undergraduates
L & S 1,Exploring the Liberal Arts
L & S 1W,Exploring the Liberal Arts Hybrid Course
L & S W1,Exploring the Liberal Arts
L & S 5,Introduction to Entrepreneurship
L & S C5,Introduction to Entrepreneurship
L & S 10,The On the Same Page Course
L & S 20C,Arts and Literature
L & S 20D,Arts and Literature
L & S 20E,Arts and Literature
L & S 22,Sense and Sensibility and Science
L & S 23,The Humanities
L & S 24,Freshman Seminar
L & S 25,Thinking Through Art and Design @Berkeley
L & S C30T,Drugs and the Brain
L & S C30U,Americans and the Global Forest
L & S C30V,Environmental Issues
L & S C30X,Big Ideas in Cell Biology
L & S C30Y,Biology for Voters
L & S C30Z,Bioinspired Design
L & S 39A,Freshman and Sophomore Seminar
L & S 39B,Freshman and Sophomore Seminar
L & S 39C,Freshman and Sophomore Seminar
L & S 39D,Freshman and Sophomore Seminar
L & S 39E,Freshman and Sophomore Seminar
L & S 39F,Freshman and Sophomore Seminar
L & S 39G,Freshman and Sophomore Seminar
L & S 39H,Freshman and Sophomore Seminar
L & S 39I,Freshman and Sophomore Seminar
L & S 39J,Freshman and Sophomore Seminar
L & S 39K,Freshman and Sophomore Seminar
L & S 39L,Freshman and Sophomore Seminar
L & S 39M,Freshman and Sophomore Seminar
L & S 39N,Freshman and Sophomore Seminar
L & S 39O,Freshman and Sophomore Seminar
L & S 39P,Freshman and Sophomore Seminar
L & S 39Q,Freshman and Sophomore Seminar
L & S 39R,Freshman and Sophomore Seminar
L & S 39S,Freshman and Sophomore Seminar
L & S 39T,Freshman and Sophomore Seminar
L & S 39U,Freshman and Sophomore Seminar
L & S 39V,Freshman and Sophomore Seminar
L & S 39W,Freshman and Sophomore Seminar
L & S 39X,Freshman and Sophomore Seminar
L & S 39Y,Freshman and Sophomore Seminar
L & S 39Z,Freshman and Sophomore Seminar
L & S 40C,"Hollywood: The Place, the Industry, the Fantasy"
L & S C40T,"Introduction to American Studies: Hollywood: the Place, the Industry, the Fantasy"
L & S 40D,Historical Studies
L & S C46,Climate Change and the Future of California
L & S C60T,What is Beauty?
L & S C60U,"Revolutionary Thinking: Marx, Nietzsche, Freud"
L & S 70A,Physics and Music
L & S 70B,Physical Science
L & S 70C,Living on the Edge
L & S C70T,The Planets
L & S C70U,Introduction to General Astronomy
L & S C70V,Descriptive Introduction to Physics
L & S C70W,Physics and Music
L & S C70Y,Earthquakes in Your Backyard
L & S 76,Beauty and the Beholder: Approaching Art at the Berkeley Art Museum
L & S 88,Data Science Connector
L & S C101,Edible Education: The Rise and Future of the Food Movement
L & S C103,Edible Education: Telling Stories About Food and Agriculture
L & S 105,Arts Entrepreneurship
L & S 110,The World According to Berkeley
L & S 120B,Arts and Literature
L & S 120C,The Bible in Western Culture
L & S 121,Origins in Science and Religion
L & S 122,Time
L & S 124,Consciousness: Buddhist and Neuroscientific Perspectives
L & S 125,Time
L & S 126,Energy and Civilization
L & S C138,Art and Activism
L & S 140C,Historical Studies
L & S C140U,The Archaeology of Health and Disease
L & S C140V,The History and Practice of Human Rights
L & S 140D,Historical Studies
L & S 150A,International Studies
L & S 150C,International Studies
L & S 160B,Effective Personal Ethics for the Twenty-First Century
L & S C160T,Philosophy of Mind
L & S C160V,Human Happiness
L & S 160D,Philosophy and Values
L & S 160E,Philosophy and Values
L & S 180A,Social and Behavioral Sciences
L & S 180AC,Archaeology of Sex and Gender
L & S 180B,Language and Power
L & S C180U,Wealth and Poverty
L & S C180W,Who Owns the Past? Cultural Heritage in a Digital Age
L & S C180X,Arts and Cultural Policy
LINFOST N1,Bib 1: Information Resources: Effectively Utilizing the UC Berkeley Library and Beyond
LINGUIS 1A,American Sign Language I
LINGUIS 1B,American Sign Language II
LINGUIS R1B,Endangered Languages: What We Lose when a Language Dies
LINGUIS 2A,American Sign Language 3
LINGUIS R2B,Language and Linguistics in Science Fiction
LINGUIS 3,Linguistic Diversity
LINGUIS 5,Language and Linguistics
LINGUIS 10,The Sounds of English
LINGUIS 11,Writing Systems
LINGUIS 16,The English Vocabulary
LINGUIS S16,The English Vocabulary
LINGUIS 22,Introduction to the History of the English Language
LINGUIS 23,Language and Sex
LINGUIS 24,Freshman Seminar
LINGUIS 40,Language of Advertising
LINGUIS 47,Language and Communication Disorders
LINGUIS 51,The Brain's Politics: How the Framing of Issues Works
LINGUIS S55,The American Languages
LINGUIS S55X,The American Languages
LINGUIS 65,Music and Language
LINGUIS C70,Working with Grammar: Linguistic Tools for Learning and Teaching a Native American Language
LINGUIS 97,Research Practicum
LINGUIS 98,Directed Group Study
LINGUIS 100,Introduction to Linguistic Science
LINGUIS C104,"The Mind, Language, and Politics"
LINGUIS C105,The Mind and Language
LINGUIS 106,Metaphor
LINGUIS 108,Introduction to Psycholinguistics
LINGUIS 110,Introduction to Phonetics and Phonology
LINGUIS 113,Experimental Phonetics
LINGUIS 115,Phonology and Morphology
LINGUIS 120,Introduction to Syntax and Semantics
LINGUIS 121,Logical Semantics
LINGUIS 122,Language Typology and Linguistic Universals
LINGUIS 123,Pragmatics
LINGUIS 124,Discourse
LINGUIS 125,"Gesture, Cognition, and Culture"
LINGUIS 127,Cross-Cultural Verbal Art
LINGUIS 128,Linguistic Analysis of Literature
LINGUIS 130,Comparative and Historical Linguistics
LINGUIS 131,Indo-European Comparative Linguistics
LINGUIS C137,Introduction to Slavic Linguistics
LINGUIS C139,Language Spread
LINGUIS 140,Introduction to Field Methods
